date,close
2020-01-02T14:30:00.000Z,324.0
2020-01-02T14:31:00.000Z,324.75
2020-01-02T14:32:00.000Z,323.33
2020-01-02T14:33:00.000Z,324.23
2020-01-02T14:34:00.000Z,324.51
2020-01-02T14:35:00.000Z,324.715
2020-01-02T14:36:00.000Z,324.88
2020-01-02T14:37:00.000Z,324.88
2020-01-02T14:38:00.000Z,325.225
2020-01-02T14:39:00.000Z,324.82
2020-01-02T14:40:00.000Z,324.83
2020-01-02T14:41:00.000Z,324.51
2020-01-02T14:42:00.000Z,324.51
2020-01-02T14:43:00.000Z,324.43
2020-01-02T14:44:00.000Z,324.32
2020-01-02T14:45:00.000Z,325.24
2020-01-02T14:46:00.000Z,325.35
2020-01-02T14:47:00.000Z,325.35
2020-01-02T14:48:00.000Z,325.29
2020-01-02T14:49:00.000Z,325.15
2020-01-02T14:50:00.000Z,325.29
2020-01-02T14:51:00.000Z,325.29
2020-01-02T14:52:00.000Z,325.29
2020-01-02T14:53:00.000Z,325.4
2020-01-02T14:54:00.000Z,325.11
2020-01-02T14:55:00.000Z,325.68
2020-01-02T14:56:00.000Z,325.99
2020-01-02T14:57:00.000Z,326.215
2020-01-02T14:58:00.000Z,326.04
2020-01-02T14:59:00.000Z,326.16
2020-01-02T15:00:00.000Z,326.16
2020-01-02T15:01:00.000Z,325.39
2020-01-02T15:02:00.000Z,325.56
2020-01-02T15:03:00.000Z,325.56
2020-01-02T15:04:00.000Z,325.56
2020-01-02T15:05:00.000Z,325.56
2020-01-02T15:06:00.000Z,325.56
2020-01-02T15:07:00.000Z,325.44
2020-01-02T15:08:00.000Z,325.44
2020-01-02T15:09:00.000Z,325.16
2020-01-02T15:10:00.000Z,325.16
2020-01-02T15:11:00.000Z,325.16
2020-01-02T15:12:00.000Z,325.16
2020-01-02T15:13:00.000Z,325.16
2020-01-02T15:14:00.000Z,325.16
2020-01-02T15:15:00.000Z,325.16
2020-01-02T15:16:00.000Z,325.16
2020-01-02T15:17:00.000Z,325.16
2020-01-02T15:18:00.000Z,323.56
2020-01-02T15:19:00.000Z,323.725
2020-01-02T15:20:00.000Z,323.725
2020-01-02T15:21:00.000Z,323.725
2020-01-02T15:22:00.000Z,323.725
2020-01-02T15:23:00.000Z,323.67
2020-01-02T15:24:00.000Z,323.67
2020-01-02T15:25:00.000Z,323.67
2020-01-02T15:26:00.000Z,324.12
2020-01-02T15:27:00.000Z,324.19
2020-01-02T15:28:00.000Z,324.19
2020-01-02T15:29:00.000Z,325.06
2020-01-02T15:30:00.000Z,324.65
2020-01-02T15:31:00.000Z,324.655
2020-01-02T15:32:00.000Z,324.61
2020-01-02T15:33:00.000Z,324.48
2020-01-02T15:34:00.000Z,324.48
2020-01-02T15:35:00.000Z,324.48
2020-01-02T15:36:00.000Z,324.48
2020-01-02T15:37:00.000Z,324.17
2020-01-02T15:38:00.000Z,324.17
2020-01-02T15:39:00.000Z,324.17
2020-01-02T15:40:00.000Z,324.17
2020-01-02T15:41:00.000Z,324.17
2020-01-02T15:42:00.000Z,323.77
2020-01-02T15:43:00.000Z,323.665
2020-01-02T15:44:00.000Z,323.53
2020-01-02T15:45:00.000Z,323.445
2020-01-02T15:46:00.000Z,323.445
2020-01-02T15:47:00.000Z,323.445
2020-01-02T15:48:00.000Z,322.94
2020-01-02T15:49:00.000Z,322.94
2020-01-02T15:50:00.000Z,322.79
2020-01-02T15:51:00.000Z,322.79
2020-01-02T15:52:00.000Z,322.79
2020-01-02T15:53:00.000Z,322.79
2020-01-02T15:54:00.000Z,322.77
2020-01-02T15:55:00.000Z,322.77
2020-01-02T15:56:00.000Z,323.195
2020-01-02T15:57:00.000Z,323.45
2020-01-02T15:58:00.000Z,323.45
2020-01-02T15:59:00.000Z,323.95
2020-01-02T16:00:00.000Z,324.17
2020-01-02T16:01:00.000Z,324.17
2020-01-02T16:02:00.000Z,324.17
2020-01-02T16:03:00.000Z,324.17
2020-01-02T16:04:00.000Z,324.225
2020-01-02T16:05:00.000Z,324.07
2020-01-02T16:06:00.000Z,324.23
2020-01-02T16:07:00.000Z,324.48
2020-01-02T16:08:00.000Z,324.48
2020-01-02T16:09:00.000Z,324.41
2020-01-02T16:10:00.000Z,324.335
2020-01-02T16:11:00.000Z,324.335
2020-01-02T16:12:00.000Z,324.335
2020-01-02T16:13:00.000Z,324.335
2020-01-02T16:14:00.000Z,324.335
2020-01-02T16:15:00.000Z,324.335
2020-01-02T16:16:00.000Z,324.77
2020-01-02T16:17:00.000Z,324.9
2020-01-02T16:18:00.000Z,324.9
2020-01-02T16:19:00.000Z,324.9
2020-01-02T16:20:00.000Z,324.9
2020-01-02T16:21:00.000Z,324.9
2020-01-02T16:22:00.000Z,324.61
2020-01-02T16:23:00.000Z,324.61
2020-01-02T16:24:00.000Z,324.44
2020-01-02T16:25:00.000Z,324.44
2020-01-02T16:26:00.000Z,324.44
2020-01-02T16:27:00.000Z,324.27
2020-01-02T16:28:00.000Z,324.27
2020-01-02T16:29:00.000Z,324.05
2020-01-02T16:30:00.000Z,324.16
2020-01-02T16:31:00.000Z,324.05
2020-01-02T16:32:00.000Z,323.895
2020-01-02T16:33:00.000Z,323.895
2020-01-02T16:34:00.000Z,323.385
2020-01-02T16:35:00.000Z,323.06
2020-01-02T16:36:00.000Z,323.165
